Date,ADS_Change,EPU_Change,Stringency_Change,Rolling_Avg_Change_in_DCC,% FTSE100 Change,Previous % FTSE100 Change,Next % FTSE100 Change,% FTSE250 Change,Previous % FTSE250 Change,Next % FTSE250 Change,% FTSEAIM Change,Previous % FTSEAIM Change,Next % FTSEAIM Change,% FTSEAllShare Change,Previous % FTSEAllShare Change,Next % FTSEAllShare Change,% FTSESmallCap Change,Previous % FTSESmallCap Change,Next % FTSESmallCap Change,% MSCI Change,Previous % MSCI Change,Next % MSCI Change,% MSCIUK Change,Previous % MSCIUK Change,Next % MSCIUK Change,% GILT2 Change,Previous % GILT2 Change,Next % GILT2 Change,Close,Vix Close,SWAV,SWAV_lagged,Change in SWAV,% Barc Change,Previous % Barc Change,Next % Barc Change,% Voda Change,Previous % Voda Change,Next % Voda Change,% BP Change,Previous % BP Change,Next % BP Change,% Glen Change,Previous % Glen Change,Next % Glen Change,% LLoyds Change,Previous % LLoyds Change,Next % LLoyds Change,festive
2017-06-02,-0.12799659,225.78000000000003,0.0,3.5620000000000003,4.13,-0.47,-3.11,1.64,3.83,-3.31,2.74,3.91,-2.6,3.64,0.33,-3.07,2.26,2.38,-1.18,2.58,2.03,-0.97,4.57,2.87,-4.22,-20.98,28.83,157.52,9.75,9.75,0.5692437307248541,0.5501493082978873,0.0190944224269667,-0.45,-4.34,-3.86,12.89,-1.43,-5.31,4.04,-2.48,-4.31,3.45,-11.61,0.16,-0.93,6.82,-4.61,0
2017-06-09,-0.0147862,243.32999999999996,0.0,-0.0234999999999995,1.9,0.51,-2.34,-0.13,2.76,-1.9,0.41,3.94,-1.94,1.51,0.97,-2.21,0.25,2.98,-0.64,1.67,2.41,-0.5,0.83,4.79,-2.98,-16.51,-9.17,281.32,10.7,10.7,0.5661361238490571,0.5600071573959817,0.0061289664530753,0.02,-4.46,0.75,7.18,1.15,-1.04,2.6,-2.92,-5.09,1.71,-8.98,0.76,0.5,10.48,-4.97,0
2017-06-16,0.0721216,-6.840000000000032,0.0,2.0962500000000013,0.36,4.53,-1.14,0.63,1.41,-2.06,-0.03,3.34,-1.77,0.42,3.92,-1.26,0.74,2.29,-0.28,2.25,2.5,1.29,-0.73,6.78,-1.29,39.29,-0.88,89.74,10.38,10.38,0.5765081222335613,0.5683623913191896,0.0081457309143716,-4.24,1.8,2.58,1.09,10.08,-1.69,-0.5,4.73,-4.68,-3.87,-1.79,12.99,-3.84,11.97,-2.33,0
2017-06-23,0.1361479,624.1,0.0,3.811000000000001,-1.24,3.14,0.39,-1.41,1.47,0.34,-2.01,3.02,0.05,-1.24,2.82,0.39,-0.39,1.98,0.8,0.54,1.71,1.75,-4.89,4.95,2.12,150.0,17.5,29.79,10.02,10.02,0.5725098594439503,0.585518199060398,-0.0130083396164477,-7.71,-4.72,3.8,-1.93,12.31,1.03,-3.54,4.29,-2.2,-4.08,-5.82,12.18,-8.78,8.44,2.14,0
2017-06-30,0.203416,358.04999999999995,0.0,0.2252500000000019,-3.11,4.13,0.76,-3.31,1.64,2.01,-2.6,2.74,1.78,-3.07,3.64,1.0,-1.18,2.26,1.55,-0.97,2.58,2.29,-4.22,4.57,2.37,297.78,-44.79,-13.97,11.18,11.18,0.5768826833092677,0.5692437307248541,0.0076389525844136,-3.86,-0.45,1.16,-5.31,12.89,1.17,-4.31,4.04,0.19,0.16,3.45,15.33,-4.61,-0.93,0.53,0
2017-07-07,0.2478619999999999,-284.86999999999995,0.0,1.791250000000001,-2.34,1.9,2.19,-1.9,-0.13,2.96,-1.94,0.41,3.61,-2.21,1.51,2.32,-0.64,0.25,2.36,-0.5,1.67,2.85,-3.91,1.71,3.59,92.4,56.88,-32.22,11.19,11.19,0.5823045505939646,0.5661361238490571,0.0161684267449074,0.75,0.02,1.06,-1.04,7.18,2.86,-5.09,2.6,4.35,0.76,1.71,13.64,-4.97,0.5,0.42,0
2017-07-14,0.223626,-124.42999999999996,0.0,-1.3545000000000005,-1.14,0.36,-0.93,-2.06,0.63,0.7,-1.77,-0.03,3.64,-1.26,0.42,-0.57,-0.28,0.74,1.35,1.29,2.25,-0.53,0.12,-1.48,-1.3,51.66,129.35,-28.44,9.51,9.51,0.5682832956225643,0.5765081222335613,-0.0082248266109969,2.58,-4.24,-4.39,-1.69,1.09,0.32,-4.68,-0.5,0.66,12.99,-3.87,1.87,-2.33,-3.84,-3.44,0
2017-07-21,0.127822,-502.11,0.0,-0.9197499999999992,0.39,-1.24,-1.73,0.34,-1.41,-0.63,0.05,-2.01,3.05,0.39,-1.24,-1.49,0.8,-0.39,-0.26,1.75,0.54,-1.45,3.01,-5.26,-2.18,-7.9,157.52,-13.06,9.36,9.36,0.5487905207836814,0.5725098594439503,-0.0237193386602688,3.8,-7.71,-4.58,1.03,-1.93,-3.08,-2.2,-3.54,-1.41,12.18,-4.08,9.53,2.14,-8.78,-6.17,0
2017-07-28,-0.008367,-393.27,0.0,-0.9250000000000008,0.76,-3.11,0.45,2.01,-3.31,-0.29,1.78,-2.6,2.24,1.0,-3.07,0.31,1.55,-1.18,0.03,2.29,-0.97,-0.8,1.95,-4.42,-1.12,-28.53,281.32,-20.16,10.29,10.29,0.5708363237221282,0.5768826833092677,-0.0060463595871395,1.16,-3.86,-5.27,1.17,-5.31,-0.32,0.19,-4.31,0.42,15.33,0.16,6.51,0.53,-4.61,-2.39,0
2017-08-04,-0.161522,206.3,0.0,-1.4902499999999996,2.19,-2.34,-1.33,2.96,-1.9,-1.36,3.61,-1.94,1.68,2.32,-2.21,-1.3,2.36,-0.64,-0.29,2.85,-0.5,-0.23,3.59,-3.91,-1.92,-15.2,89.74,-28.69,10.03,10.03,0.5751769624806864,0.5823045505939646,-0.0071275881132781,1.06,0.75,-9.58,2.86,-1.04,-3.13,4.35,-5.09,-3.64,13.64,0.76,8.67,0.42,-4.97,-5.1,0
